cpu_percent,cpu_frequency_mhz,memory_percent,memory_available_mb,disk_percent,disk_read_mbps,disk_write_mbps,network_upload_mbps,network_download_mbps,process_count,label
4.5,1200.0,71.0,4587.84,3.8,0.01,0.15,0.01,0.03,306,0
8.1,1200.0,70.8,4613.61,3.8,0.01,0.58,0.0,0.01,306,0
8.4,1200.0,70.8,4617.64,3.8,0.0,1.29,0.0,0.0,306,0
10.2,1200.0,70.7,4637.89,3.8,0.5,2.56,0.0,0.01,304,0
8.2,1200.0,70.6,4640.65,3.8,0.0,1.26,0.0,0.01,304,0
9.6,1200.0,70.8,4615.42,3.8,0.0,0.65,0.01,0.0,303,0
9.1,1200.0,70.7,4626.64,3.8,0.01,1.39,0.0,0.0,303,0
9.6,1200.0,70.9,4603.68,3.8,0.02,1.04,0.0,0.0,303,0
16.3,1200.0,74.9,3965.77,3.8,0.18,2.08,0.04,1.83,303,0
15.2,1200.0,75.5,3865.3,3.8,0.41,1.44,0.01,0.48,303,0
11.9,1200.0,74.6,4011.82,3.8,0.13,0.64,0.0,0.01,303,0
11.3,1200.0,73.9,4120.65,3.8,0.06,0.65,0.0,0.01,303,0
13.5,1200.0,74.7,4004.08,3.8,0.22,1.01,0.01,0.03,303,0
13.5,1200.0,74.1,4088.36,3.8,0.14,0.88,0.03,0.58,303,0
14.3,1200.0,73.6,4166.02,3.8,0.12,1.1,0.03,0.9,303,0
13.7,1200.0,73.4,4211.33,3.8,0.04,0.88,0.01,0.42,303,0
12.4,1200.0,76.2,3761.41,3.8,0.16,0.76,0.01,0.25,303,0
12.4,1200.0,75.4,3891.46,3.8,0.02,0.54,0.01,0.01,303,0
9.9,1200.0,74.8,3978.65,3.8,0.06,0.8,0.0,0.0,303,0
9.3,1200.0,74.4,4052.16,3.8,0.04,0.77,0.0,0.0,303,0
10.3,1200.0,73.1,4258.82,3.8,0.07,0.71,0.0,0.01,303,0
10.5,1200.0,73.7,4160.91,3.8,0.03,0.91,0.0,0.01,303,0
18.0,1200.0,75.1,3939.29,3.8,1.05,1.41,0.04,0.17,305,0
15.8,1200.0,74.4,4050.79,3.8,0.47,1.99,0.01,0.08,304,0
11.0,1200.0,73.1,4257.67,3.8,0.07,0.72,0.0,0.0,303,0
10.4,1200.0,73.1,4255.0,3.8,0.03,0.86,0.0,0.0,303,0
8.4,1200.0,72.5,4344.58,3.8,0.03,0.72,0.0,0.0,303,0
8.9,1200.0,72.5,4345.78,3.8,0.02,0.65,0.0,0.02,303,0
9.7,1200.0,72.3,4380.41,3.8,0.04,1.0,0.0,0.0,303,0
9.1,1200.0,72.2,4399.92,3.8,0.01,0.72,0.0,0.0,302,0
9.9,1200.0,71.7,4480.34,3.8,0.07,0.78,0.0,0.0,303,0
10.1,1200.0,71.7,4479.98,3.8,0.01,1.08,0.0,0.0,303,0
10.2,1200.0,71.5,4504.4,3.8,0.03,1.56,0.0,0.0,302,0
10.9,1200.0,71.5,4497.35,3.8,0.02,0.78,0.0,0.0,302,0
10.5,1200.0,71.6,4481.7,3.8,0.01,1.34,0.0,0.0,302,0
10.1,1200.0,72.1,4410.27,3.8,0.01,1.14,0.0,0.0,302,0
11.3,1200.0,71.4,4516.46,3.8,0.03,0.64,0.0,0.0,302,0
10.8,1200.0,70.1,4719.0,3.8,0.03,0.82,0.0,0.0,302,0
8.6,1200.0,70.2,4711.01,3.8,0.0,0.53,0.0,0.0,302,0
8.6,1200.0,70.0,4744.13,3.8,0.02,0.85,0.0,0.0,302,0
8.9,1200.0,70.0,4748.29,3.8,0.01,0.69,0.0,0.0,302,0
9.7,1200.0,70.6,4640.9,3.8,0.18,1.17,0.0,0.0,302,0
10.9,1200.0,70.4,4682.36,3.8,0.02,1.33,0.0,0.0,302,0
9.5,1200.0,70.3,4691.57,3.8,0.02,1.06,0.0,0.01,302,0
8.8,1200.0,70.3,4695.58,3.8,0.02,1.06,0.0,0.0,302,0
7.9,1200.0,70.3,4696.71,3.8,0.0,1.18,0.0,0.0,302,0
8.0,1200.0,70.3,4695.58,3.8,0.01,1.05,0.0,0.0,302,0
7.7,1200.0,70.3,4690.48,3.8,0.0,1.65,0.0,0.0,302,0
10.3,1200.0,70.5,4669.61,3.8,0.06,0.94,0.0,0.07,304,0
9.0,1200.0,70.6,4654.25,3.8,0.18,2.41,0.01,0.01,304,0
7.3,1200.0,70.6,4653.09,3.8,0.01,1.47,0.0,0.0,304,0
7.6,1200.0,70.6,4653.97,3.8,0.0,1.42,0.0,0.0,304,0
8.0,1200.0,70.6,4652.66,3.8,0.02,0.94,0.0,0.0,304,0
7.5,1200.0,70.6,4652.99,3.8,0.05,1.36,0.0,0.0,304,0
7.7,1200.0,70.5,4668.56,3.8,0.0,1.18,0.0,0.0,304,0
8.1,1200.0,70.5,4661.48,3.8,0.01,1.36,0.0,0.01,304,0
8.6,1200.0,70.5,4659.51,3.8,0.03,1.16,0.0,0.0,304,0
8.4,1200.0,70.5,4656.35,3.8,0.0,1.42,0.0,0.0,304,0
7.0,1200.0,70.5,4660.21,3.8,0.0,1.27,0.0,0.0,304,0
13.1,1200.0,70.8,4620.66,3.8,7.14,4.84,0.0,0.0,305,0
13.3,1200.0,70.9,4603.37,3.8,11.15,9.0,0.0,0.0,305,0
12.6,1200.0,70.9,4595.3,3.8,49.82,8.65,0.0,0.0,305,0
14.3,1200.0,71.2,4544.43,3.8,11.4,3.6,0.0,0.01,304,0
15.2,1200.0,71.2,4554.79,3.8,17.61,5.92,0.0,0.0,304,0
13.2,1200.0,71.3,4535.44,3.8,8.5,13.9,0.0,0.0,304,0
14.6,1200.0,72.9,4277.02,3.8,8.94,12.44,0.0,0.0,304,0
14.3,1200.0,72.7,4310.37,3.8,8.0,6.58,0.0,0.0,304,0
13.8,1200.0,72.0,4433.04,3.8,15.21,24.58,0.0,0.0,303,0
19.4,1200.0,74.6,4011.19,3.8,20.1,4.85,0.0,0.0,306,0
15.5,1200.0,75.0,3945.27,3.8,19.25,2.88,0.0,0.0,306,0
17.4,1200.0,74.8,3981.63,3.8,19.41,6.64,0.0,0.0,306,0
16.6,1200.0,75.0,3957.69,3.8,1.58,7.33,0.0,0.01,305,0
