cpu_percent,cpu_frequency_mhz,memory_percent,memory_available_mb,disk_percent,disk_read_mbps,disk_write_mbps,network_upload_mbps,network_download_mbps,process_count,label,process_id
10.9,1497.0,79.2,2527.43,16.2,0.0,0.14,0.0,0.0,217,Normal,18933
6.5,1497.0,75.0,3045.05,16.2,0.0,0.12,0.0,0.0,213,Normal,21281
10.4,1700.0,69.2,4956.11,63.2,0.01,0.03,0.0,0.0,308,Normal,27881
11.2,2396.0,78.6,2603.3,16.2,0.16,0.7,0.0,0.0,244,Normal,15693
9.2,1700.0,75.7,3908.95,62.5,0.0,0.0,0.0,0.0,309,Normal,25417
6.6,2400.0,69.5,4876.76,93.3,0.06,1.62,0.01,0.01,297,Normal,10298
5.8,2400.0,67.8,5156.98,93.4,0.31,0.71,0.0,0.0,296,Normal,11243
6.7,1200.0,78.1,3460.74,3.8,0.22,2.1,0.0,0.0,309,Normal,5384
17.0,1200.0,78.5,3394.98,3.8,0.1,0.78,0.02,0.18,315,Normal,6439
5.5,2396.0,75.3,3000.62,16.2,0.0,0.0,0.0,0.01,213,Normal,21190
7.9,1520.0,67.9,5143.65,93.4,0.0,1.76,0.0,0.01,298,Normal,11267
6.7,2396.0,75.4,2996.73,16.2,0.0,0.08,0.0,0.0,214,Normal,21228
7.2,2396.0,74.4,3111.06,16.2,0.0,0.17,0.0,0.0,213,Normal,20888
8.1,2400.0,72.3,4437.83,93.3,3.42,2.0,0.0,0.0,303,Normal,8932
12.4,1700.0,70.8,4698.96,62.4,0.0,0.04,0.0,0.0,297,Normal,24235
7.2,1700.0,68.9,4991.43,62.4,0.0,0.0,0.0,0.0,293,Normal,23188
40.9,1497.0,62.6,4554.1,16.2,0.26,0.29,0.0,0.0,217,Normal,18348
9.8,2396.0,63.3,4467.28,16.2,0.0,0.07,0.0,0.01,221,Normal,16254
7.0,2396.0,67.0,4013.33,16.2,0.0,0.0,0.0,0.1,216,Normal,14808
37.0,2396.0,70.2,3627.1,16.2,0.03,0.8,0.01,0.32,222,Normal,14885
6.5,1200.0,77.9,3499.95,3.8,0.0,1.61,0.0,0.0,315,Normal,1476
6.9,2400.0,67.7,5162.21,93.3,0.01,2.0,0.0,0.0,296,Normal,10962
12.4,2400.0,73.8,4186.46,93.2,0.12,0.83,0.04,0.09,301,Normal,13628
7.0,1457.0,70.8,4698.48,62.4,0.0,0.05,0.0,0.0,302,Normal,21856
9.0,1700.0,69.3,4936.69,62.4,0.03,0.12,0.0,0.0,299,Normal,21930
6.9,1200.0,76.3,3753.61,3.8,0.0,1.09,0.0,0.0,316,Normal,6745
8.1,1520.0,72.2,4455.36,93.2,0.01,0.83,0.0,0.0,299,Normal,13602
31.4,2396.0,63.7,4414.02,16.2,0.0,0.08,0.0,0.0,222,Normal,16420
5.0,1200.0,78.8,3343.89,3.8,0.0,1.31,0.0,0.0,310,Normal,5648
37.5,2396.0,78.7,2589.44,16.2,0.24,0.08,0.04,0.49,251,Normal,15514
8.2,2400.0,76.7,3726.04,93.4,0.02,1.88,0.0,0.0,302,Normal,14206
6.4,1200.0,77.7,3520.28,3.8,0.0,1.31,0.0,0.0,310,Normal,1759
6.4,1200.0,72.0,4431.0,3.8,0.0,0.99,0.0,0.0,310,Normal,4253
6.3,2400.0,67.5,5201.21,93.4,0.0,2.08,0.0,0.01,296,Normal,11567
35.1,1700.0,85.0,2416.7,63.2,4.29,7.17,0.0,0.0,344,Normal,26651
