timestamp,hostname,cpu_percent,cpu_frequency_mhz,memory_percent,memory_available_mb,disk_percent,disk_read_mbps,disk_write_mbps,network_upload_mbps,network_download_mbps,process_count,top_cpu_process,top_cpu_pid,top_mem_process,top_mem_pid,ssd_model,ssd_health_status,ssd_percentage_used,ssd_available_spare,ssd_temperature,ssd_data_written_tb,ssd_power_on_hours,ssd_media_errors
2026-08-09 10:59:11,LAPTOP-GU29EE8S,12.0,1200.0,86.1,2190.82,3.8,0.17,0.19,0.0,0.01,342,System Idle Process,0,Code.exe,13420,,,,,,,,
2026-08-09 10:59:24,LAPTOP-GU29EE8S,66.9,1200.0,85.9,2231.13,3.8,0.11,0.16,0.0,0.0,342,System Idle Process,0,Code.exe,13420,,,,,,,,
2026-08-09 10:59:40,LAPTOP-GU29EE8S,66.8,1200.0,85.9,2226.3,3.8,0.01,0.27,0.0,0.0,342,System Idle Process,0,chrome.exe,22748,,Healthy,0,100,,,,0
2026-08-09 11:00:07,LAPTOP-GU29EE8S,54.2,1200.0,88.1,1880.11,3.8,0.44,0.89,0.01,0.13,342,System Idle Process,0,Code.exe,13420,,,,,,,,
2026-08-09 11:00:25,LAPTOP-GU29EE8S,52.3,1200.0,86.6,2120.37,3.8,0.1,0.37,0.0,0.01,343,System Idle Process,0,Code.exe,13420,,Healthy,0,100,,,,0
2026-08-09 11:02:26,LAPTOP-GU29EE8S,46.5,1200.0,85.5,2290.2,3.8,0.17,0.51,0.0,0.0,337,System Idle Process,0,Code.exe,13420,,,,,,,,
2026-08-09 11:02:54,LAPTOP-GU29EE8S,46.8,1200.0,86.7,2109.26,3.8,0.18,0.34,0.01,0.05,341,System Idle Process,0,Code.exe,13420,,,,,,,,
2026-08-09 11:03:28,LAPTOP-GU29EE8S,50.9,1200.0,87.9,1907.22,3.8,15.71,19.8,0.02,0.18,343,System Idle Process,0,Code.exe,13420,,,,,,,,
2026-08-09 11:04:19,LAPTOP-GU29EE8S,46.6,1200.0,86.2,2176.03,3.8,0.03,2.4,0.0,0.02,340,System Idle Process,0,Code.exe,13420,,,,,,,,
2026-08-09 11:05:28,LAPTOP-GU29EE8S,47.9,1200.0,86.4,2154.3,3.8,0.04,0.29,0.01,0.05,343,System Idle Process,0,Code.exe,13420,,,,,,,,
2026-08-09 11:06:05,LAPTOP-GU29EE8S,48.2,1200.0,88.4,1828.97,3.8,0.27,1.21,0.02,0.17,348,System Idle Process,0,Code.exe,13420,,,,,,,,
2026-08-09 11:06:31,LAPTOP-GU29EE8S,50.5,1200.0,90.5,1494.74,3.8,0.36,1.21,0.02,0.27,342,System Idle Process,0,Code.exe,13420,,,,,,,,
2026-08-09 11:07:51,LAPTOP-GU29EE8S,46.5,1200.0,88.9,1755.53,3.8,0.21,0.3,0.0,0.0,344,System Idle Process,0,Code.exe,13420,,,,,,,,
2026-08-09 11:08:09,LAPTOP-GU29EE8S,45.9,1200.0,86.5,2140.6,3.8,0.02,0.1,0.0,0.0,341,System Idle Process,0,Code.exe,13420,,Healthy,0,100,,,,0
2026-08-09 11:10:08,LAPTOP-GU29EE8S,46.5,1200.0,86.5,2132.1,3.8,0.02,0.32,0.0,0.0,337,System Idle Process,0,Code.exe,13420,,,,,,,,
2026-08-09 11:11:19,LAPTOP-GU29EE8S,47.6,1200.0,88.6,1802.05,3.8,0.04,0.26,0.0,0.04,343,System Idle Process,0,Code.exe,13420,,,,,,,,
2026-08-09 11:11:57,LAPTOP-GU29EE8S,47.5,1200.0,87.2,2016.5,3.8,0.07,0.52,0.01,0.1,340,System Idle Process,0,Code.exe,13420,,,,,,,,
2026-08-09 11:14:31,LAPTOP-GU29EE8S,46.7,1200.0,87.6,1964.59,3.8,0.08,0.17,0.0,0.0,341,System Idle Process,0,Code.exe,13420,,,,,,,,
2026-08-09 11:15:32,LAPTOP-GU29EE8S,51.5,1200.0,88.3,1844.2,3.8,0.17,0.16,0.0,0.0,348,System Idle Process,0,Code.exe,13420,,,,,,,,
2026-08-09 11:16:37,LAPTOP-GU29EE8S,46.2,1200.0,86.1,2190.11,3.8,0.13,0.14,0.0,0.0,342,System Idle Process,0,Code.exe,13420,,,,,,,,
2026-08-09 11:16:56,LAPTOP-GU29EE8S,45.9,1200.0,84.1,2511.16,3.8,0.01,0.49,0.0,0.0,339,System Idle Process,0,Code.exe,13420,,Healthy,0,100,,,,0
2026-08-09 11:17:15,LAPTOP-GU29EE8S,46.6,1200.0,84.1,2509.49,3.8,0.04,0.28,0.0,0.0,339,System Idle Process,0,Code.exe,13420,,Healthy,0,100,,,,0
2026-08-09 11:17:50,LAPTOP-GU29EE8S,46.9,1200.0,84.5,2442.91,3.8,0.01,0.25,0.0,0.0,342,System Idle Process,0,Code.exe,13420,,,,,,,,
2026-08-09 11:18:38,LAPTOP-GU29EE8S,46.1,1200.0,84.7,2420.63,3.8,0.01,0.27,0.0,0.0,344,System Idle Process,0,Code.exe,13420,,,,,,,,
2026-08-09 11:19:55,LAPTOP-GU29EE8S,45.9,1200.0,84.3,2477.71,3.8,0.0,0.15,0.0,0.0,339,System Idle Process,0,Code.exe,13420,,,,,,,,
2026-08-09 11:21:07,LAPTOP-GU29EE8S,48.9,1200.0,84.8,2403.75,3.8,0.15,0.18,0.01,0.02,345,System Idle Process,0,Code.exe,13420,,,,,,,,
2026-08-09 11:21:54,LAPTOP-GU29EE8S,50.5,1200.0,88.2,1862.03,3.8,0.29,2.01,0.01,0.11,345,System Idle Process,0,Code.exe,13420,,,,,,,,
2026-08-09 11:23:26,LAPTOP-GU29EE8S,47.2,1200.0,88.5,1812.47,3.8,0.07,0.6,0.0,0.07,342,System Idle Process,0,Code.exe,13420,,,,,,,,
2026-08-09 11:24:22,LAPTOP-GU29EE8S,46.8,1200.0,89.6,1638.18,3.8,0.14,0.83,0.0,0.0,343,System Idle Process,0,Code.exe,13420,,,,,,,,
2026-08-09 11:25:46,LAPTOP-GU29EE8S,47.4,1200.0,88.6,1804.34,3.8,0.05,0.32,0.0,0.04,342,System Idle Process,0,Code.exe,13420,,,,,,,,
