timestamp,hostname,cpu_percent,cpu_frequency_mhz,memory_percent,memory_available_mb,disk_percent,disk_read_mbps,disk_write_mbps,network_upload_mbps,network_download_mbps,process_count,top_cpu_process,top_cpu_pid,top_mem_process,top_mem_pid,ssd_model,ssd_health_status,ssd_percentage_used,ssd_available_spare,ssd_temperature,ssd_data_written_tb,ssd_power_on_hours,ssd_media_errors
2026-08-08 23:37:40,LAPTOP-UA90UR9H,9.8,2400.0,56.3,6996.88,89.6,0.01,2.22,0.0,0.0,264,System Idle Process,0,msedgewebview2.exe,24064,,Healthy,0,100,,,,0
2026-08-08 23:37:44,LAPTOP-UA90UR9H,25.6,2400.0,56.5,6968.27,89.6,1.2,2.05,0.0,0.0,265,System Idle Process,0,msedgewebview2.exe,24064,,Healthy,0,100,,,,0
2026-08-08 23:37:51,LAPTOP-UA90UR9H,87.4,2400.0,57.6,6791.61,89.6,0.17,6.59,0.0,0.0,281,System Idle Process,0,msedgewebview2.exe,24064,,Healthy,0,100,,,,0
2026-08-08 23:37:56,LAPTOP-UA90UR9H,100.0,2400.0,56.9,6893.58,89.6,0.4,7.1,0.0,0.0,280,OneDrive.exe,28452,msedgewebview2.exe,24064,,Healthy,0,100,,,,0
2026-08-08 23:38:02,LAPTOP-UA90UR9H,100.0,2400.0,57.0,6876.87,89.6,0.3,1.63,0.0,0.0,281,python.exe,20564,msedgewebview2.exe,24064,,Healthy,0,100,,,,0
2026-08-08 23:38:09,LAPTOP-UA90UR9H,100.0,2400.0,57.0,6876.61,89.6,0.28,1.0,0.0,0.0,281,python.exe,26400,msedgewebview2.exe,24064,,Healthy,0,100,,,,0
2026-08-08 23:38:15,LAPTOP-UA90UR9H,100.0,2400.0,57.3,6827.1,89.6,2.44,2.29,0.0,0.04,282,python.exe,12568,msedgewebview2.exe,24064,,Healthy,0,100,,,,0
2026-08-08 23:38:22,LAPTOP-UA90UR9H,100.0,2400.0,57.4,6822.02,89.6,4.53,4.07,0.01,0.01,284,python.exe,20564,msedgewebview2.exe,24064,,Healthy,0,100,,,,0
2026-08-08 23:38:29,LAPTOP-UA90UR9H,100.0,2400.0,57.3,6826.67,89.6,1.55,5.57,0.0,0.0,284,python.exe,6424,msedgewebview2.exe,24064,,Healthy,0,100,,,,0
2026-08-08 23:38:36,LAPTOP-UA90UR9H,100.0,2400.0,58.0,6723.03,89.7,9.97,2.95,0.0,0.01,286,python.exe,20564,msedgewebview2.exe,24064,,Healthy,0,100,,,,0
2026-08-08 23:38:42,LAPTOP-UA90UR9H,100.0,2400.0,58.1,6705.1,89.7,4.53,1.75,0.0,0.0,287,python.exe,9960,msedgewebview2.exe,24064,,Healthy,0,100,,,,0
2026-08-08 23:38:47,LAPTOP-UA90UR9H,100.0,2400.0,58.4,6660.3,89.7,0.03,1.4,0.01,0.0,284,python.exe,9960,msedgewebview2.exe,24064,,Healthy,0,100,,,,0
2026-08-08 23:38:54,LAPTOP-UA90UR9H,100.0,2400.0,58.3,6679.38,89.7,0.01,3.93,0.0,0.0,287,python.exe,2180,msedgewebview2.exe,24064,,Healthy,0,100,,,,0
2026-08-08 23:39:01,LAPTOP-UA90UR9H,100.0,2400.0,58.2,6688.81,89.7,0.19,0.65,0.0,0.02,288,python.exe,2180,msedgewebview2.exe,24064,,Healthy,0,100,,,,0
