timestamp,hostname,cpu_percent,cpu_frequency_mhz,memory_percent,memory_available_mb,disk_percent,disk_read_mbps,disk_write_mbps,network_upload_mbps,network_download_mbps,process_count,top_cpu_process,top_cpu_pid,top_mem_process,top_mem_pid,ssd_model,ssd_health_status,ssd_percentage_used,ssd_available_spare,ssd_temperature,ssd_data_written_tb,ssd_power_on_hours,ssd_media_errors
2026-08-08 11:28:11,HI38,5.6,2396.0,62.5,4558.28,16.2,0.04,0.37,0.0,0.01,213,System Idle Process,0,msedgewebview2.exe,9144,INTEL SSDPEKKF256G7L,PASSED,4,100,26,9.69,3038,0
2026-08-08 11:28:13,HI38,25.0,2396.0,62.8,4520.27,16.2,0.77,0.02,0.0,0.01,213,System Idle Process,0,msedgewebview2.exe,9144,INTEL SSDPEKKF256G7L,PASSED,4,100,25,9.69,3038,0
2026-08-08 11:28:14,HI38,8.4,1497.0,62.8,4530.36,16.2,0.0,0.13,0.01,0.01,213,System Idle Process,0,msedgewebview2.exe,9144,INTEL SSDPEKKF256G7L,PASSED,4,100,25,9.69,3038,0
2026-08-08 11:28:16,HI38,6.0,2396.0,62.8,4530.09,16.2,0.0,0.07,0.0,0.01,213,System Idle Process,0,msedgewebview2.exe,9144,INTEL SSDPEKKF256G7L,PASSED,4,100,25,9.69,3038,0
2026-08-08 11:28:18,HI38,20.5,1497.0,62.9,4517.04,16.2,0.0,0.34,0.0,0.01,212,System Idle Process,0,msedgewebview2.exe,9144,INTEL SSDPEKKF256G7L,PASSED,4,100,25,9.69,3038,0
2026-08-08 11:28:20,HI38,9.5,2396.0,62.9,4515.05,16.2,0.0,0.06,0.0,0.01,212,System Idle Process,0,msedgewebview2.exe,9144,INTEL SSDPEKKF256G7L,PASSED,4,100,25,9.69,3038,0
2026-08-08 11:28:21,HI38,31.2,2396.0,63.4,4449.18,16.2,0.01,0.15,0.01,0.01,212,System Idle Process,0,msedgewebview2.exe,9144,INTEL SSDPEKKF256G7L,PASSED,4,100,25,9.69,3038,0
2026-08-08 11:28:23,HI38,23.5,1497.0,63.7,4413.45,16.2,0.12,0.01,0.01,0.01,211,System Idle Process,0,msedgewebview2.exe,9144,INTEL SSDPEKKF256G7L,PASSED,4,100,26,9.69,3038,0
2026-08-08 11:28:25,HI38,50.3,2396.0,64.7,4297.14,16.2,4.55,0.52,0.03,0.1,212,System Idle Process,0,msedgewebview2.exe,9144,INTEL SSDPEKKF256G7L,PASSED,4,100,25,9.69,3038,0
2026-08-08 11:28:27,HI38,21.4,1497.0,64.8,4285.18,16.2,0.02,0.25,0.0,0.0,212,System Idle Process,0,msedgewebview2.exe,9144,INTEL SSDPEKKF256G7L,PASSED,4,100,25,9.69,3038,0
